theta1: 0, theta2: 0, theta3: 1 :  assigned: 5099/7008  |  completed: 5078/7008  |   value:46256.38700000006   |  reward: 74385.74000000005  |   distance: 20275.73818419476   |  RR: 0.7275970319634704
theta1: 0, theta2: 0.05, theta3: 0.95 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48604.46999999995   |  reward: 78425.15000000021  |   distance: 21712.35807756179   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.1, theta3: 0.8999999999999999 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48610.09999999995   |  reward: 78425.15000000021  |   distance: 21691.20524260025   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.15000000000000002, theta3: 0.8499999999999999 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48599.89499999995   |  reward: 78425.15000000021  |   distance: 21691.900203770616   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.2, theta3: 0.7999999999999998 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48598.074999999946   |  reward: 78425.15000000021  |   distance: 21710.77990343565   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.25, theta3: 0.7499999999999998 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48599.824999999946   |  reward: 78425.15000000021  |   distance: 21744.831251337695   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.3, theta3: 0.6999999999999997 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48625.85999999995   |  reward: 78425.15000000021  |   distance: 21682.470564671115   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.35, theta3: 0.6499999999999997 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48605.14999999995   |  reward: 78425.15000000021  |   distance: 21662.318544429647   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.39999999999999997, theta3: 0.5999999999999996 :  assigned: 5202/7008  |  completed: 5182/7008  |   value:48575.074999999946   |  reward: 78412.15000000021  |   distance: 21698.676861456217   |  RR: 0.7422945205479452
theta1: 0, theta2: 0.44999999999999996, theta3: 0.5499999999999996 :  assigned: 5200/7008  |  completed: 5180/7008  |   value:48597.19499999993   |  reward: 78484.8000000002  |   distance: 21693.885138151243   |  RR: 0.7420091324200914
theta1: 0, theta2: 0.49999999999999994, theta3: 0.4999999999999996 :  assigned: 5200/7008  |  completed: 5180/7008  |   value:48546.28999999994   |  reward: 78537.70000000022  |   distance: 21800.246023553234   |  RR: 0.7420091324200914
theta1: 0, theta2: 0.5499999999999999, theta3: 0.4499999999999996 :  assigned: 5201/7008  |  completed: 5181/7008  |   value:48691.58099999991   |  reward: 78544.70000000019  |   distance: 21732.72248958824   |  RR: 0.7421518264840182
theta1: 0, theta2: 0.6, theta3: 0.39999999999999963 :  assigned: 5203/7008  |  completed: 5183/7008  |   value:48505.34599999991   |  reward: 78583.35000000021  |   distance: 21752.700394785083   |  RR: 0.7424372146118722
theta1: 0, theta2: 0.65, theta3: 0.34999999999999964 :  assigned: 5204/7008  |  completed: 5184/7008  |   value:48604.439999999915   |  reward: 78580.95000000022  |   distance: 21830.43237303207   |  RR: 0.742579908675799
theta1: 0, theta2: 0.7000000000000001, theta3: 0.29999999999999966 :  assigned: 5196/7008  |  completed: 5176/7008  |   value:48673.009999999944   |  reward: 78808.70000000022  |   distance: 22005.981978236377   |  RR: 0.7414383561643836
theta1: 0, theta2: 0.7500000000000001, theta3: 0.24999999999999967 :  assigned: 5194/7008  |  completed: 5174/7008  |   value:48232.334999999985   |  reward: 78979.00000000022  |   distance: 21954.94853878917   |  RR: 0.7411529680365296
theta1: 0, theta2: 0.8000000000000002, theta3: 0.19999999999999968 :  assigned: 5190/7008  |  completed: 5170/7008  |   value:48299.13399999997   |  reward: 79173.4500000002  |   distance: 22044.89541730001   |  RR: 0.740582191780822
theta1: 0, theta2: 0.8500000000000002, theta3: 0.1499999999999997 :  assigned: 5188/7008  |  completed: 5168/7008  |   value:47852.134999999995   |  reward: 79231.92000000022  |   distance: 21949.561495941853   |  RR: 0.740296803652968
theta1: 0, theta2: 0.9000000000000002, theta3: 0.09999999999999969 :  assigned: 5201/7008  |  completed: 5181/7008  |   value:47644.823000000004   |  reward: 79477.73000000021  |   distance: 21893.7227923084   |  RR: 0.7421518264840182
theta1: 0, theta2: 0.9500000000000003, theta3: 0.049999999999999684 :  assigned: 5185/7008  |  completed: 5165/7008  |   value:47020.39899999996   |  reward: 80218.93000000021  |   distance: 22165.390113377434   |  RR: 0.7398687214611872
theta1: 0.05, theta2: 0, theta3: 0.95 :  assigned: 5190/7008  |  completed: 5169/7008  |   value:54270.07400000008   |  reward: 72426.13000000014  |   distance: 11160.420038836332   |  RR: 0.740582191780822
theta1: 0.05, theta2: 0.05, theta3: 0.8999999999999999 :  assigned: 5238/7008  |  completed: 5218/7008  |   value:56362.720000000016   |  reward: 76983.42000000014  |   distance: 13540.512679810347   |  RR: 0.747431506849315
theta1: 0.05, theta2: 0.1, theta3: 0.8499999999999999 :  assigned: 5226/7008  |  completed: 5206/7008  |   value:55700.27700000009   |  reward: 77670.41000000015  |   distance: 14037.101182857929   |  RR: 0.7457191780821918
theta1: 0.05, theta2: 0.15000000000000002, theta3: 0.7999999999999998 :  assigned: 5205/7008  |  completed: 5185/7008  |   value:55341.568000000094   |  reward: 78308.9300000002  |   distance: 14809.397430536636   |  RR: 0.742722602739726
theta1: 0.05, theta2: 0.2, theta3: 0.7499999999999998 :  assigned: 5193/7008  |  completed: 5173/7008  |   value:55059.90400000006   |  reward: 78519.3800000002  |   distance: 15124.985129940587   |  RR: 0.7410102739726028
